Domain Code,Domain,Area Code (M49),Area,Food Group Code,Food Group,Indicator Code,Indicator,Year Code,Year,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2018","2018","6123","Value","g/cap/d","223.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2019","2019","6123","Value","g/cap/d","233.9","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2020","2020","6123","Value","g/cap/d","227.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2021","2021","6123","Value","g/cap/d","212.3","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2010","2010","6123","Value","g/cap/d","14.9","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2011","2011","6123","Value","g/cap/d","15.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2012","2012","6123","Value","g/cap/d","16","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2013","2013","6123","Value","g/cap/d","16.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2014","2014","6123","Value","g/cap/d","17.4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2015","2015","6123","Value","g/cap/d","18.1","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2016","2016","6123","Value","g/cap/d","17","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2017","2017","6123","Value","g/cap/d","17.6","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2018","2018","6123","Value","g/cap/d","16.6","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2019","2019","6123","Value","g/cap/d","17.4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2020","2020","6123","Value","g/cap/d","17","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4007","Dietary fibre supply","2021","2021","6123","Value","g/cap/d","15.6","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2010","2010","6128","Value","kcal/cap/d","964","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2011","2011","6128","Value","kcal/cap/d","954","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2012","2012","6128","Value","kcal/cap/d","993","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2013","2013","6128","Value","kcal/cap/d","1050","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2014","2014","6128","Value","kcal/cap/d","1124","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2015","2015","6128","Value","kcal/cap/d","1172","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2016","2016","6128","Value","kcal/cap/d","1131","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2017","2017","6128","Value","kcal/cap/d","1165","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2018","2018","6128","Value","kcal/cap/d","1106","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2019","2019","6128","Value","kcal/cap/d","1159","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2020","2020","6128","Value","kcal/cap/d","1130","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","1051","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2010","2010","6206","Value","μg/cap/d","13","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2011","2011","6206","Value","μg/cap/d","13","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2012","2012","6206","Value","μg/cap/d","13","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2013","2013","6206","Value","μg/cap/d","15","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2014","2014","6206","Value","μg/cap/d","19","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2015","2015","6206","Value","μg/cap/d","18","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2016","2016","6206","Value","μg/cap/d","19","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2017","2017","6206","Value","μg/cap/d","21","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2018","2018","6206","Value","μg/cap/d","19","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2019","2019","6206","Value","μg/cap/d","20","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2020","2020","6206","Value","μg/cap/d","18","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2021","2021","6206","Value","μg/cap/d","17","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2010","2010","6206","Value","μg/cap/d","7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2011","2011","6206","Value","μg/cap/d","7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2012","2012","6206","Value","μg/cap/d","7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2013","2013","6206","Value","μg/cap/d","8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2014","2014","6206","Value","μg/cap/d","11","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2015","2015","6206","Value","μg/cap/d","10","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2016","2016","6206","Value","μg/cap/d","10","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2017","2017","6206","Value","μg/cap/d","11","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2018","2018","6206","Value","μg/cap/d","10","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2019","2019","6206","Value","μg/cap/d","11","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2020","2020","6206","Value","μg/cap/d","10","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2021","2021","6206","Value","μg/cap/d","9","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2010","2010","6209","Value","mg/cap/d","53","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2011","2011","6209","Value","mg/cap/d","53","E","Estimated value",""
